name,address,nearest_station,genres,hours,holiday,price_range,latitude,longitude,place_id,plus_code,homepage_url,sns_url,description,payment_methods,parking
NEW YORK JOE EXCHANGE 下北沢店,東京都世田谷区北沢3-26-4,下北沢駅,ヴィンテージ,12:00-20:00,定休日なし,¥2000~3000,35.6639104,139.6681502,ChIJI_aZ32rzGGARhjQlOeV4oB0,8Q7XMM79+H7,http://newyorkjoeexchange.com/,https://www.instagram.com/newyorkjoeexchange/,元銭湯を改装したユニークな内装の有名店。買取・交換も行う。,現金・クレジット・電子マネー
FLAMINGO 下北沢店,東京都世田谷区北沢2-25-12,下北沢駅,US古着,12:00-21:00,定休日なし,¥3000~,35.6626969,139.6670597,ChIJJfSKMzPzGGAR8SkxrJD5qoc,8Q7XMM78+3R,http://www.tippirag.com/flamingo,https://www.instagram.com/flamingo_shimokitazawa/,赤いネオン管が目印。初心者でも入りやすい定番店。
FLAMINGO 下北沢2nd店,東京都世田谷区北沢2-37-2,下北沢駅,"レディース,ヴィンテージ,小物,アウトドア",12:00-21:00,定休日なし,¥3000~,35.6633937,139.6671466,ChIJi4xe43XzGGARrGb84oiJw7Q,8Q7XMM78+9C,http://www.tippirag.com/flamingo,https://www.instagram.com/flamingo_shimokitazawa/,レディース古着に特化したフラミンゴの系列店。
FLAMINGO 下北沢3rd店,東京都世田谷区北沢2-30-10,下北沢駅,"ヴィンテージ,小物,アウトドア",12:00-21:00,定休日なし,¥3000~,35.663188,139.6673851,ChIJE9s9RQDzGGAR0AZCAouiLO4,8Q7XMM78+6X,http://www.tippirag.com/flamingo,https://www.instagram.com/flamingo_3rd/?hl=ja,アメカジも多いフラミンゴの系列店。
WEGO VINTAGE下北沢店,東京都世田谷区北沢2-29-3,下北沢駅,レギュラー,11:00-21:00,定休日なし,¥2000~,35.6629991,139.6665418,ChIJ923ya2vzGGARELac70tm-9A,8Q7XMM78+5J,https://www.wego.jp/,https://www.instagram.com/wego_shimokita/,トレンドの古着を安く手に入れられる大型店。
Desert Snow 下北沢1号店,東京都世田谷区北沢2-30-14,下北沢駅,ヴィンテージ,11:00-20:00,定休日なし,¥4000~,35.66287519999999,139.6676734,ChIJq6rWBWvzGGAReRS6S_ybxmM,8Q7XMM78+6X,http://www.desertsnow.co.jp/,https://www.instagram.com/desertsnow_shimokita/,町田発祥の名店。物量と質のバランスが良い。
DESERTSNOW second hand vintage clothing store 古着屋 下北沢ガーデン店,東京都世田谷区北沢2-26-14,下北沢駅,ヴィンテージ・レギュラー・きれいめ・カジュアル,12:00-20:00,日曜日,¥3000~,35.6625507,139.6661867,ChIJlQc_yiPzGGARvEq5cweCiOM,8Q7XMM78+2C,http://www.desertsnow.co.jp/,https://www.instagram.com/desertsnow_shimokita/,広々とした店内でゆっくり見られる。
BIG TIME 下北沢店,東京都世田谷区北沢2-26-15,下北沢駅,ヴィンテージ,11:00-21:00,定休日なし,¥5000~,35.6626871,139.6664586,ChIJWbMbbmvzGGAR-Z4sSvVbfLE,8Q7XMM79+48,http://www.bigtime.jp/,https://www.instagram.com/big_time_shimokitazawa/,50s~90sのアメリカ・ヨーロッパ古着が豊富。
Little Trip to Heaven 下北沢店,東京都世田谷区北沢2-26-19,下北沢駅,レディース,11:00-21:00,定休日なし,¥6588~,35.6627689,139.666835,ChIJ-wWhemvzGGARTSdflDUM1DQ,8Q7XMM79+57,http://www.bigtime.jp/littletrip/,https://www.instagram.com/littletriptoheaven_official/,レトロでクラシカルなワンピースやブラウスが多い。
GRAPEFRUIT MOON 下北沢,東京都世田谷区北沢2-2-11,下北沢駅,60s・70s・80s,12:00-21:00,定休日なし,¥4588~,35.659816,139.6682685,ChIJO4HY_lzzGGARd4lrVGDWqs8,8Q7XMM59+X8,http://www.grapefruitmoon.jp/,https://www.instagram.com/grapefruitmoon_shimokitazawa/,質の良い柄シャツやレトロなアイテムが揃う。
Small Change 下北沢店,東京都世田谷区北沢2-27-1,下北沢駅,ヴィンテージ,11:00-21:00,定休日なし,¥5588~,35.6627116,139.6662289,,8Q7XMM79+54,http://www.smallchange.jp/,https://www.instagram.com/smallchange_official/,ブリティッシュ・ユーロヴィンテージに強い。
STICK OUT 下北沢店,東京都世田谷区北沢2-14-16,下北沢駅,USED・安価,11:00-20:00,定休日なし,¥800~,35.6598494,139.6676511,ChIJq1Uae2nzGGARwnP7kSX9lk0,8Q7XMM69+C5,http://www.stickout.co.jp/,https://www.instagram.com/stickout800/,全品800円前後という驚安価格の有名店。
TreFacStyle 下北沢1号店,東京都世田谷区北沢2-3-9,下北沢駅,ブランド古着,11:00-20:00,定休日なし,¥2588~,35.6602457,139.6684277,ChIJDePlg2nzGGARofCnYZae0MI,8Q7XMM59+V8,https://www.tf-style.com/,https://www.instagram.com/trefacstyle.official/,ドメスティックブランドから古着まで幅広く扱う。
TreFacStyle 下北沢2号店,東京都世田谷区北沢2-32-8,下北沢駅,ストリート,11:00-20:00,定休日なし,¥3588~,35.6627924,139.6688174,ChIJAb1eV2rzGGARCNz6fIBAp4A,8Q7XMM78+7V,https://www.tf-style.com/,https://www.instagram.com/trefacstyle.official/,こちらはストリート・アウトドアブランドが中心。
Micmo 下北沢1号店,東京都世田谷区北沢2-26-21,下北沢駅,レギュラー,12:00-20:00,定休日なし,¥4988~,35.6625951,139.6668439,ChIJWyuNUqXzGGAReilxBYYZF4w,8Q7XMM79+64,https://www.micmo.jp/,https://www.instagram.com/micmo_shimokitazawa/,下北沢に複数展開する、安くて可愛い古着屋。
Micmo 下北沢6号店,東京都世田谷区北沢2-25-8,下北沢駅,レギュラー,12:00-20:00,定休日なし,¥4988~,35.6594536,139.6673545,ChIJk5I5tgbzGGARo3hEobfD5Mc,8Q7XMM78+2X,https://www.micmo.jp/,https://www.instagram.com/micmo_shimokitazawa/,メンズライクなアイテムも豊富。
STEP AHEAD 下北沢店,東京都世田谷区北沢2-30-10,下北沢駅,アメカジ,12:00-20:00,定休日なし,¥6000~,35.6629021,139.6675535,ChIJ__-DBWvzGGARxrBGShwD_2E,8Q7XMM78+6X,,https://www.instagram.com/stepahead_shimokitazawa/,アメカジ好きにはたまらないラインナップ。
Zool,東京都世田谷区北沢2-25-12,下北沢駅,メンズ,12:00-20:00,定休日なし,¥4000~,35.662688,139.6670613,,8Q7XMM78+3R,,https://www.instagram.com/zool_vintage/,少しエッジの効いたアイテムが見つかる。
ROSE SHIMOKITAZAWA,東京都世田谷区北沢3-27-2,下北沢駅,大人古着,13:00-20:00,定休日なし,¥8000~,35.6640439,139.6679556,ChIJrdO_JmvzGGARSvVZHYLS4uE,8Q7XMM79+F6,,https://www.instagram.com/rose_shimokitazawa/,大人な女性に向けた洗練されたセレクト。
SIGNAL,東京都世田谷区北沢2-36-2,下北沢駅,セレクト,13:00-20:00,定休日なし,¥7000~,35.6632739,139.6674492,ChIJfTEZF2vzGGAR1pKUwC1Uzjg,8Q7XMM78+8G,,https://www.instagram.com/signal_shimokita/,状態の良いハイセンスな古着が並ぶ。
iot,東京都世田谷区北沢2-32-7,下北沢駅,リメイク,12:00-20:00,定休日なし,¥8988~,35.6604233,139.6681317,ChIJp5u1JHLzGGARfCwyk4o7djg,8Q7XMM78+8R,,https://www.instagram.com/iot_tokyo/,唯一無二のリメイクアイテムが人気。
VALON 下北沢店,東京都世田谷区北沢2-25-8,下北沢駅,ヴィンテージ,12:00-21:00,定休日なし,¥6588~,35.6622666,139.6671882,ChIJkVyhoGvzGGARJ6J0IEEOYcw,8Q7XMM78+2X,,https://www.instagram.com/valon_lanp/,東洋百貨店の中にある、質の高い古着屋。
Lanp,東京都世田谷区北沢2-25-8,下北沢駅,ヴィンテージ,12:35-21:35,定休日なし,¥5588~,35.6590926,139.6672718,ChIJkVyhoGvzGGARUSd_FOx1zno,8Q7XMM78+2X,,https://www.instagram.com/valon_lanp/,VALONの姉妹店。こちらも東洋百貨店内。
Ruby Tuesday,東京都世田谷区北沢2-25-8,下北沢駅,ヨーロッパ古着,12:00-20:00,定休日なし,¥5000~,35.6590203,139.6671767,ChIJ9xTba2nzGGARLzGJ1HHFu5Q,8Q7XMM78+2X,,https://www.instagram.com/ruby_tuesday_shimokitazawa/,東洋百貨店内。ヨーロッパ古着が中心。
SPiKe 下北沢店,東京都世田谷区北沢2-34-12,下北沢駅,アメカジ,12:00-20:00,定休日なし,¥5988~,35.6632115,139.6680344,ChIJmUDaAmvzGGARfBbtx8NCu0E,8Q7XMM78+9R,,https://www.instagram.com/spike_shimokita/,ラルフローレンなどの定番アメカジが豊富。
SOMA 下北沢店,東京都世田谷区北沢2-33-6 2F 飯島ビル202,下北沢駅,スニーカー,15:00-20:00,定休日なし,¥10000~,35.6631045,139.6689276,ChIJc_G5LGrzGGARe1b8rOCwR8c,8Q7XMM78+7Q,,https://www.instagram.com/soma_shimokitazawa/,世界中からマニアが訪れるヴィンテージスニーカー専門店。
